"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15684","Login test","chromium","2026-02-06","passed","2026-02-06","","login.spec.js","",""
"","6394","Handle dropdown and select value","webkit","2026-02-06","passed","2026-02-06","","asseration.spec.js","",""
"","1670","has title","webkit","2026-02-06","passed","2026-02-06","","example.spec.js","",""
"","13484","has title","firefox","2026-02-06","passed","2026-02-06","","example.spec.js","",""
"","20535","Locators Script","chromium","2026-02-06","failed","2026-02-06","","locator.spec.js","",""
"","11813","Handle dropdown and select value","chromium","2026-02-06","passed","2026-02-06","","asseration.spec.js","",""
"","9003","has title","chromium","2026-02-06","passed","2026-02-06","","example.spec.js","",""
"","1978","get started link","chromium","2026-02-06","passed","2026-02-06","","example.spec.js","",""
"","2426","get started link","webkit","2026-02-06","passed","2026-02-06","","example.spec.js","",""
"","30950","Locators Script","firefox","2026-02-06","broken","2026-02-06","","locator.spec.js","",""
"","3489","get started link","firefox","2026-02-06","passed","2026-02-06","","example.spec.js","",""
"","7604","Handle dropdown and select value","firefox","2026-02-06","passed","2026-02-06","","asseration.spec.js","",""
"","30077","Locators Script","webkit","2026-02-06","broken","2026-02-06","","locator.spec.js","",""
"","17252","Login test","firefox","2026-02-06","passed","2026-02-06","","login.spec.js","",""
"","16104","Login test","webkit","2026-02-06","passed","2026-02-06","","login.spec.js","",""
